,log2FoldChange,padj,baseMean,t,P.Value,B
224428_s_at,6.412312431,4.96E-36,7.195268857,28.52992986,1.66E-40,81.66331718
228554_at,-7.810912456,1.49E-34,5.719108714,-26.78200444,9.95E-39,77.68954207
233388_at,-5.010383524,1.89E-34,5.891073,-26.48645789,2.03E-38,76.99466991
209464_at,4.13942413,1.89E-34,5.644841571,26.39703729,2.53E-38,76.78307198
228241_at,-8.997943171,2.61E-34,6.097876143,-26.17331515,4.36E-38,76.25088214
1558447_at,-4.799517822,5.69E-34,4.783045571,-25.78226027,1.14E-37,75.3109464
1558448_a_at,-3.828572666,8.48E-34,5.244778571,-25.56021121,1.99E-37,74.77166186
221591_s_at,3.922467157,2.98E-33,4.255816429,25.00840275,7.98E-37,73.41367587
203418_at,4.952142372,1.57E-32,5.215017429,24.31725974,4.72E-36,71.67601545
209642_at,4.767189092,3.39E-32,6.003923857,23.94618628,1.25E-35,70.72571872
204822_at,5.630029807,3.39E-32,6.886373714,23.94559063,1.25E-35,70.72418339
206364_at,4.744102178,4.45E-32,7.594080143,23.80934993,1.79E-35,70.37216608
204318_s_at,4.248825509,1.81E-31,6.359478143,23.25305282,7.88E-35,68.91717883
210735_s_at,-6.579783188,2.37E-31,5.741618714,-23.12533674,1.11E-34,68.5790841
218542_at,4.499075694,2.52E-31,6.366204286,23.07708095,1.27E-34,68.45094045
220651_s_at,4.582689184,7.82E-31,5.794135143,22.63855868,4.19E-34,67.27630059
204508_s_at,-6.15120831,9.65E-31,5.442141143,-22.52981622,5.65E-34,66.9821636
232286_at,-6.808330193,9.65E-31,6.485518571,-22.51957198,5.81E-34,66.95439497
211110_s_at,-6.207817098,2.46E-30,5.494470429,-22.16322659,1.56E-33,65.98208338
210052_s_at,5.406121051,2.78E-30,7.417909571,22.10095566,1.86E-33,65.81089059
215304_at,-5.617725744,4.46E-30,5.829881571,-21.89881395,3.28E-33,65.25251314
209408_at,5.077892944,4.46E-30,6.231502714,21.8984884,3.28E-33,65.25161058
226473_at,5.116955206,5.49E-30,4.998895143,21.80243465,4.31E-33,64.98484472
244696_at,-5.906328612,5.49E-30,4.776491714,-21.79389218,4.41E-33,64.96107515
226197_at,-7.377171472,5.73E-30,5.487811143,-21.76468523,4.79E-33,64.87975083
208103_s_at,5.240032708,9.53E-30,7.252274429,21.57151217,8.30E-33,64.33970304
226506_at,-4.654978814,3.12E-29,4.687225857,-21.14548612,2.82E-32,63.13518424
211621_at,-3.673390706,3.19E-29,3.966055,-21.12517805,2.99E-32,63.07729799
204603_at,3.743942557,3.28E-29,5.508168571,21.10376385,3.18E-32,63.01621227
205046_at,4.521722279,4.43E-29,5.644698714,20.98815117,4.45E-32,62.68559042
204962_s_at,4.973159571,6.57E-29,6.933869571,20.84146664,6.82E-32,62.26409246
212021_s_at,4.559187174,6.72E-29,5.960110714,20.82293787,7.20E-32,62.21068868
225379_at,-3.911648049,6.91E-29,4.709981857,-20.80312013,7.63E-32,62.15352964
219197_s_at,-7.697868368,7.08E-29,8.138841286,-20.78459174,8.05E-32,62.10005179
219918_s_at,5.21078984,7.82E-29,7.910115429,20.74065289,9.16E-32,61.97308714
212956_at,-4.323380673,8.01E-29,10.27840314,-20.72286555,9.65E-32,61.92163101
218726_at,4.172545694,1.04E-28,5.769821,20.62556418,1.28E-31,61.63955689
225687_at,5.386928957,1.10E-28,7.007558143,20.59801212,1.39E-31,61.55950077
213226_at,3.871533255,1.13E-28,7.395313714,20.57757805,1.48E-31,61.50007448
229150_at,-6.810259487,2.01E-28,6.939596143,-20.37505664,2.69E-31,60.90867929
226192_at,-7.278408654,2.61E-28,6.686984143,-20.27870554,3.59E-31,60.62576521
232944_at,-3.889414104,6.82E-28,4.354235286,-19.9506559,9.59E-31,59.65493294
218355_at,4.755912565,6.94E-28,5.544548,19.9348874,1.01E-30,59.60797009
228718_at,-3.212996056,6.94E-28,5.415823,-19.92937985,1.02E-30,59.59156062
218663_at,3.706298797,8.22E-28,6.754100429,19.86604026,1.24E-30,59.40260298
225834_at,4.767285004,9.61E-28,7.525759,19.8073675,1.48E-30,59.22717134
202580_x_at,4.920704373,1.89E-27,6.816148571,19.57781438,2.97E-30,58.53712492
227081_at,-5.31090889,2.11E-27,4.485581,-19.53560302,3.38E-30,58.40959407
227198_at,-6.854170008,2.51E-27,6.304310571,-19.4721105,4.11E-30,58.21739025
203928_x_at,-4.640921262,3.42E-27,5.399735429,-19.36462199,5.72E-30,57.89096551
222039_at,3.568664819,4.13E-27,7.413209,19.2963326,7.06E-30,57.68290235
236641_at,4.282175114,5.43E-27,5.702197,19.2015192,9.46E-30,57.39314712
203764_at,4.69176513,6.96E-27,6.729058,19.11535483,1.24E-29,57.12893403
212960_at,-4.752658764,7.54E-27,5.035448143,-19.08381148,1.36E-29,57.03199746
206401_s_at,-4.158240479,1.25E-26,5.470023286,-18.90962352,2.35E-29,56.49463645
205225_at,-8.210640706,1.25E-26,6.653132857,-18.90926214,2.35E-29,56.49351798
212496_s_at,-2.50478095,1.26E-26,9.674966429,-18.9007102,2.41E-29,56.46704521
207828_s_at,4.132182548,1.92E-26,8.761112143,18.76011918,3.75E-29,56.03062663
209680_s_at,2.659049134,1.92E-26,6.192096857,18.75686742,3.79E-29,56.02050542
230142_s_at,-3.240664424,2.31E-26,5.58428,-18.69244127,4.64E-29,55.81972352
204162_at,4.145310648,2.32E-26,7.975756286,18.68625036,4.73E-29,55.8004043
205862_at,-4.997385273,2.53E-26,4.978315571,-18.65324394,5.25E-29,55.69732947
219306_at,3.914503078,2.54E-26,5.535174857,18.64754697,5.35E-29,55.67952567
218755_at,4.179223457,2.54E-26,7.009191571,18.64255726,5.43E-29,55.66392904
228273_at,4.552808646,2.67E-26,8.480708857,18.61624429,5.90E-29,55.5816329
209460_at,-4.062916728,2.67E-26,7.998381286,-18.6160927,5.91E-29,55.58115855
202095_s_at,5.245582069,2.76E-26,6.688930286,18.60128546,6.19E-29,55.53481168
222835_at,-5.762071951,4.26E-26,5.725072143,-18.45998422,9.69E-29,55.09124233
202870_s_at,5.381936072,4.89E-26,7.884734429,18.41165026,1.13E-28,54.93897415
235046_at,-4.379072851,1.08E-25,7.261981714,-18.15935933,2.53E-28,54.13968202
215942_s_at,3.334304432,1.13E-25,5.797580429,18.13914603,2.70E-28,54.07531592
1552619_a_at,4.069649083,1.13E-25,6.940180571,18.13496904,2.74E-28,54.06200889
212023_s_at,3.299040496,1.13E-25,5.514659286,18.1313535,2.77E-28,54.05048882
227232_at,-4.211158099,1.20E-25,8.156409714,-18.10826276,2.98E-28,53.97687876
1566880_at,-4.440054432,1.26E-25,4.890396,-18.08923134,3.17E-28,53.91616135
204126_s_at,3.667504491,1.26E-25,5.805249429,18.08580696,3.21E-28,53.90523166
203929_s_at,-4.565351077,1.28E-25,5.991839,-18.07744498,3.30E-28,53.87853666
219555_s_at,3.662999807,1.73E-25,6.830176143,17.97983122,4.52E-28,53.56629199
212022_s_at,4.194723684,1.79E-25,6.551192,17.96592169,4.72E-28,53.52170542
214431_at,2.205973608,2.38E-25,9.141845429,17.87396585,6.36E-28,53.22635781
225327_at,-3.318051043,2.44E-25,9.571077,-17.86203758,6.62E-28,53.1879714
237086_at,-7.280132523,2.69E-25,5.687621,-17.82660457,7.42E-28,53.073843
204825_at,4.027062498,2.69E-25,8.725797,17.82478234,7.47E-28,53.06796956
221436_s_at,3.935300488,2.73E-25,6.593711714,17.81664907,7.67E-28,53.04174941
217838_s_at,-3.125248385,2.82E-25,9.606061857,-17.80323228,8.01E-28,52.99847868
210085_s_at,-4.00417968,2.86E-25,4.707502,-17.79423982,8.25E-28,52.96946473
203362_s_at,3.738055837,2.86E-25,8.937684429,17.79106491,8.33E-28,52.95921862
212492_s_at,-2.462303541,2.91E-25,9.733651571,-17.78241053,8.57E-28,52.93128294
223307_at,4.383316754,3.34E-25,8.381804,17.73676529,9.95E-28,52.78379331
224753_at,3.575433642,4.04E-25,6.331224286,17.67515787,1.22E-27,52.5843256
202779_s_at,3.017760353,4.43E-25,8.740319143,17.64352218,1.35E-27,52.48171878
228559_at,3.47694508,4.83E-25,5.859005714,17.61394791,1.49E-27,52.38568779
232278_s_at,4.30287032,5.01E-25,6.097819857,17.59903469,1.56E-27,52.33722244
202705_at,4.17901487,5.29E-25,8.153254571,17.57957372,1.66E-27,52.27393693
226961_at,-4.416414054,5.50E-25,4.992478714,-17.56457534,1.75E-27,52.22513188
211519_s_at,4.097758301,6.87E-25,5.217969714,17.49343477,2.21E-27,51.99326461
229538_s_at,3.506043196,6.92E-25,6.154802,17.48828823,2.25E-27,51.97646657
235786_at,-2.68114889,7.74E-25,9.025579,-17.45117285,2.54E-27,51.85522785
222958_s_at,3.556010084,8.28E-25,7.376657286,17.42752507,2.74E-27,51.77789347
204092_s_at,3.775475484,8.94E-25,6.293957857,17.40122529,2.99E-27,51.69180577
215616_s_at,-2.104321489,8.95E-25,6.763406429,-17.39795766,3.03E-27,51.68110382
239723_at,-6.244400135,9.08E-25,6.445549429,-17.39049356,3.10E-27,51.65665295
228868_x_at,3.502367696,9.30E-25,5.584503,17.38029522,3.21E-27,51.62323416
223229_at,3.78082233,1.73E-24,7.789987857,17.18889002,6.05E-27,50.99364554
206197_at,-4.158131236,1.73E-24,3.783784857,-17.18699751,6.09E-27,50.98739793
229610_at,2.151265004,1.87E-24,5.774548714,17.16171829,6.62E-27,50.90390292
214164_x_at,-5.488598789,2.13E-24,6.633765143,-17.11915309,7.63E-27,50.76313509
40093_at,-2.614815425,2.37E-24,5.627856286,-17.08455992,8.57E-27,50.64856613
244375_at,-4.346854912,2.40E-24,5.079588429,-17.07799776,8.76E-27,50.62681619
234222_at,-4.574880715,3.26E-24,3.930785286,-16.98405312,1.20E-26,50.31485466
230757_at,-2.046487956,3.29E-24,5.216608286,-16.97793908,1.22E-26,50.29451374
200934_at,1.768127082,4.30E-24,11.95324143,16.89588248,1.61E-26,50.02106683
237339_at,-8.739160595,4.57E-24,5.232497829,-16.875502,1.73E-26,49.95302024
222608_s_at,4.443576762,5.18E-24,7.812443286,16.83529162,1.98E-26,49.81861306
212495_at,-2.777439882,5.29E-24,6.634181714,-16.82663772,2.04E-26,49.78966009
222680_s_at,3.99006651,5.63E-24,6.723161714,16.80554233,2.19E-26,49.71904288
215867_x_at,-5.691575324,6.30E-24,6.762763714,-16.76947966,2.47E-26,49.59819329
209603_at,-5.786660782,6.42E-24,7.564055286,-16.76176203,2.53E-26,49.57230958
1554768_a_at,4.38170783,6.93E-24,6.394481286,16.73633708,2.76E-26,49.48698542
218662_s_at,3.398550749,7.13E-24,7.386618,16.72542272,2.87E-26,49.45033276
236496_at,-4.59888016,7.38E-24,6.044111571,-16.71278818,2.99E-26,49.40788474
207469_s_at,3.811884172,9.95E-24,6.554627429,16.62233285,4.06E-26,49.10339747
203554_x_at,3.496530378,1.03E-23,9.038004,16.61056521,4.23E-26,49.06370998
212195_at,-2.674721278,1.16E-23,12.21740857,-16.57375531,4.79E-26,48.93945241
1554572_a_at,3.124839596,1.22E-23,7.298764571,16.55599134,5.09E-26,48.87942622
220865_s_at,2.726789075,1.26E-23,5.798054143,16.54352443,5.31E-26,48.83727555
1552733_at,-2.706505147,1.28E-23,4.961918857,-16.5368053,5.44E-26,48.81454997
221520_s_at,3.511493011,1.42E-23,6.352013,16.50352157,6.09E-26,48.70189314
209459_s_at,-5.186154247,1.54E-23,7.281365714,-16.47803433,6.64E-26,48.61553073
201897_s_at,2.331560992,1.57E-23,10.51342686,16.47075487,6.81E-26,48.59084953
219493_at,3.273091295,1.69E-23,5.612593571,16.44529326,7.43E-26,48.50446848
202107_s_at,2.728994962,1.73E-23,8.343772714,16.43664343,7.65E-26,48.4751044
206102_at,3.432024912,1.87E-23,8.330692571,16.41214754,8.32E-26,48.39189537
226992_at,-4.684195635,2.27E-23,3.708457286,-16.35294192,1.02E-25,48.19046825
210108_at,-4.739829075,2.51E-23,5.274039571,-16.32166868,1.13E-25,48.08389214
204641_at,4.037970967,2.61E-23,7.886303143,16.30803445,1.19E-25,48.03738913
203963_at,-6.396107578,3.20E-23,7.792530143,-16.24717437,1.47E-25,47.82952223
215397_x_at,-3.848854508,3.34E-23,5.191103,-16.23199277,1.54E-25,47.77759623
208079_s_at,4.087195122,3.60E-23,7.644238571,16.20811029,1.68E-25,47.69585098
201710_at,3.045998528,3.93E-23,6.280570714,16.18132509,1.84E-25,47.60408383
200810_s_at,-1.982876123,4.05E-23,11.49972871,-16.17037619,1.91E-25,47.56654613
219010_at,4.673314962,4.09E-23,6.957708714,16.1654213,1.94E-25,47.54955356
202752_x_at,-3.124168024,4.30E-23,7.882382571,-16.14739594,2.07E-25,47.48770993
203968_s_at,3.469737199,4.30E-23,4.784526714,16.14709486,2.07E-25,47.4866766
202954_at,4.134670378,4.44E-23,8.842331714,16.13577764,2.15E-25,47.44782645
218976_at,-6.322140908,4.64E-23,7.076084857,-16.11951712,2.28E-25,47.39197819
200811_at,-2.189195357,4.64E-23,8.323081143,-16.11855517,2.29E-25,47.3886732
225612_s_at,3.877934138,4.84E-23,9.636957286,16.1048509,2.40E-25,47.34157671
227182_at,-4.721201161,4.95E-23,4.693224,-16.09471312,2.48E-25,47.30672148
226936_at,4.496661657,4.95E-23,8.476814143,16.09403192,2.49E-25,47.30437896
225334_at,-1.873104685,5.20E-23,8.951031,-16.07817765,2.63E-25,47.24984186
204072_s_at,-3.429421354,5.93E-23,7.307552714,-16.03851478,3.02E-25,47.11326488
219440_at,-3.893648402,7.18E-23,5.751490714,-15.98040529,3.69E-25,46.91280451
216092_s_at,-3.540051051,7.18E-23,7.647964286,-15.97935253,3.70E-25,46.9091688
209172_s_at,3.178447906,7.45E-23,5.368512,15.96695361,3.87E-25,46.86633861
205394_at,3.644372683,8.09E-23,5.911651143,15.94160514,4.22E-25,46.77871479
203380_x_at,-1.279705812,1.01E-22,10.95227871,-15.87622012,5.30E-25,46.55231355
218211_s_at,-6.719469604,1.06E-22,6.690467557,-15.85982333,5.62E-25,46.49545221
203755_at,3.560882885,1.09E-22,7.375839286,15.85015022,5.81E-25,46.46189128
203145_at,3.28472476,1.22E-22,5.412412286,15.8166203,6.53E-25,46.34546592
209173_at,-8.491200118,1.22E-22,6.349724857,-15.81530186,6.56E-25,46.34088499
223721_s_at,-5.08932307,1.32E-22,5.578400429,-15.79006897,7.17E-25,46.2531697
201195_s_at,4.753822969,1.39E-22,7.242062714,15.7740615,7.58E-25,46.19748163
223700_at,3.419225702,1.48E-22,4.293384857,15.75360562,8.14E-25,46.12627008
223381_at,4.345020833,1.49E-22,7.512190429,15.75123991,8.21E-25,46.11803104
205733_at,3.40754873,1.49E-22,5.100445143,15.74963094,8.26E-25,46.11242706
223864_at,-8.365983949,2.30E-22,4.631019929,-15.62330474,1.29E-24,45.6713983
213599_at,3.501258478,2.37E-22,6.184408143,15.61313596,1.33E-24,45.63580767
204146_at,3.479174643,2.39E-22,8.867576429,15.60974855,1.35E-24,45.6239488
214440_at,-6.447782027,2.41E-22,8.810934714,-15.60426729,1.38E-24,45.60475655
226980_at,2.536392918,2.41E-22,4.859697429,15.60346407,1.38E-24,45.60194379
243241_at,-5.321326316,3.49E-22,4.877325571,-15.49671352,2.01E-24,45.22737889
201397_at,3.566913516,3.95E-22,7.046961857,15.46063076,2.29E-24,45.10043915
204768_s_at,2.914543356,3.97E-22,6.369690714,15.45736555,2.31E-24,45.08894378
226030_at,-3.781168814,4.37E-22,8.087508857,-15.42759354,2.57E-24,44.98406594
220898_at,-3.569848427,4.37E-22,4.816952571,-15.42724502,2.57E-24,44.98283754
1566079_at,-2.780851253,4.83E-22,9.412249143,-15.39710695,2.86E-24,44.87655197
203358_s_at,3.165873944,4.83E-22,7.845838286,15.39569101,2.88E-24,44.87155558
204667_at,-5.80092741,5.09E-22,5.280638429,-15.37941968,3.05E-24,44.81412088
204033_at,4.195988377,5.50E-22,7.166111714,15.35596059,3.31E-24,44.73125437
219978_s_at,4.14276995,6.09E-22,6.438694714,15.32552243,3.69E-24,44.62362883
205548_s_at,2.651017923,7.17E-22,8.647417,15.27847471,4.37E-24,44.45703766
209747_at,-3.254521724,7.26E-22,5.875651857,-15.27330132,4.45E-24,44.4387017
213134_x_at,2.33494984,7.41E-22,9.548054857,15.26582825,4.57E-24,44.41220888
219787_s_at,2.336003415,1.04E-21,8.874420571,15.16925466,6.45E-24,44.06919337
205393_s_at,3.004255198,1.24E-21,4.962562429,15.11890295,7.72E-24,43.88987096
221505_at,2.197885156,1.25E-21,10.87766929,15.11510645,7.83E-24,43.87633678
205186_at,-3.575765265,1.27E-21,4.126702857,-15.10960226,7.98E-24,43.85671148
219455_at,-3.100626619,1.28E-21,5.864252143,-15.10600571,8.09E-24,43.84388581
220296_at,-2.431349504,1.34E-21,6.034048,-15.09161131,8.52E-24,43.79253694
1555982_at,-3.015509033,1.37E-21,6.376719143,-15.08279807,8.79E-24,43.76108438
226597_at,-4.551916728,1.50E-21,4.264577,-15.05704072,9.64E-24,43.66910396
219463_at,-4.261411716,1.50E-21,3.815756143,-15.05529728,9.70E-24,43.66287496
201292_at,4.029085946,1.52E-21,9.309458714,15.04991069,9.89E-24,43.64362713
211080_s_at,3.130760723,1.56E-21,6.247697143,15.04198138,1.02E-23,43.61528659
222077_s_at,2.483147208,1.64E-21,9.409051,15.02660552,1.08E-23,43.56030761
1555758_a_at,4.570727561,1.64E-21,6.257100429,15.02541652,1.08E-23,43.55605486
235545_at,3.415513844,1.76E-21,5.305386286,15.00447236,1.16E-23,43.48111278
202240_at,3.269497653,1.97E-21,3.966027,14.9715063,1.31E-23,43.36303851
226661_at,3.191068663,1.97E-21,6.719176571,14.96965546,1.32E-23,43.3564052
202094_at,3.596717887,1.97E-21,3.8050236,14.96877952,1.32E-23,43.3532657
225191_at,-2.93078032,2.09E-21,7.471522857,-14.95130215,1.41E-23,43.29060358
212745_s_at,-1.900184937,2.31E-21,7.073075571,-14.92220386,1.57E-23,43.18618845
214053_at,-5.729810824,2.60E-21,4.411952429,-14.88726823,1.78E-23,43.06068123
201291_s_at,3.92223164,2.73E-21,9.906174,14.87276147,1.87E-23,43.00851861
214710_s_at,3.207411665,2.91E-21,8.745476143,14.85331022,2.01E-23,42.93853383
222760_at,-3.885861177,3.38E-21,7.584316286,-14.81106573,2.34E-23,42.78637019
228564_at,-3.463556156,3.69E-21,6.857976714,-14.78548506,2.57E-23,42.69411621
1556474_a_at,-4.884258881,3.77E-21,3.684210143,-14.77813072,2.64E-23,42.6675778
209002_s_at,-1.409214861,3.89E-21,7.604641,-14.76815845,2.74E-23,42.63158123
212266_s_at,-1.363324474,3.92E-21,11.51584,-14.76517474,2.77E-23,42.62080848
219000_s_at,2.78670275,4.24E-21,7.248824714,14.74185547,3.01E-23,42.53657404
205898_at,-4.4825845,4.37E-21,6.325682429,-14.73231421,3.12E-23,42.50208841
1554271_a_at,3.341171623,4.70E-21,4.626170571,14.70978925,3.38E-23,42.42062789
204863_s_at,-3.590966838,4.70E-21,7.376645286,-14.70968875,3.38E-23,42.42026431
209342_s_at,-2.204989327,4.83E-21,6.789127286,-14.70111665,3.49E-23,42.38924622
205730_s_at,-2.788455223,5.83E-21,4.797872286,-14.64832103,4.23E-23,42.19799436
223062_s_at,5.627639058,6.01E-21,7.811305143,14.6386093,4.38E-23,42.16277411
226647_at,-3.356676611,6.44E-21,4.180274143,-14.6183549,4.72E-23,42.08928059
232210_at,-3.928371699,6.46E-21,9.538720714,-14.61606948,4.76E-23,42.08098455
211712_s_at,-3.633424037,6.58E-21,5.390465429,-14.60981962,4.87E-23,42.05829413
202089_s_at,-3.360916241,6.58E-21,11.275953,-14.60853451,4.89E-23,42.05362783
200783_s_at,2.417959487,7.69E-21,8.608401,14.56469114,5.74E-23,41.89430195
205240_at,2.521124979,7.93E-21,7.016188571,14.55519763,5.94E-23,41.85976972
202088_at,-2.599647351,8.76E-21,12.93145286,-14.52673428,6.60E-23,41.75616514
229764_at,-5.719623869,9.38E-21,4.686751143,-14.50685867,7.09E-23,41.6837567
233123_at,-4.474205971,9.39E-21,7.081785714,-14.50532812,7.13E-23,41.67817864
212949_at,2.914483078,9.89E-21,5.384278857,14.48982349,7.55E-23,41.6216552
227052_at,-2.658025433,9.99E-21,10.21076343,-14.48613759,7.65E-23,41.60821332
209714_s_at,4.041818074,1.07E-20,6.671623,14.46547068,8.26E-23,41.53281167
204709_s_at,3.613093415,1.12E-20,7.027440429,14.45357332,8.63E-23,41.4893798
218009_s_at,4.162561665,1.16E-20,8.242841143,14.44071668,9.04E-23,41.44242532
229381_at,-2.971979916,1.40E-20,3.640570286,-14.38901608,1.09E-22,41.25338897
243334_at,-3.729641901,1.40E-20,3.391710286,-14.38818353,1.10E-22,41.250342
211762_s_at,2.117139958,1.47E-20,11.44912843,14.37348669,1.16E-22,41.1965398
207165_at,3.819107174,1.53E-20,8.015205286,14.36150257,1.21E-22,41.15264747
218769_s_at,-1.847190488,1.55E-20,8.277334143,-14.35731925,1.23E-22,41.13732149
205908_s_at,-4.2748382,1.57E-20,5.509041714,-14.35305487,1.25E-22,41.12169618
201795_at,2.091239588,1.61E-20,9.753196143,14.3438015,1.29E-22,41.08778234
227106_at,-1.111113255,1.73E-20,5.893603714,-14.32347168,1.39E-22,41.01323388
219148_at,4.003191287,1.85E-20,7.461969429,14.30409665,1.49E-22,40.94213645
201088_at,1.911977519,1.93E-20,12.05312186,14.29168458,1.56E-22,40.89656418
205009_at,-7.495200454,1.96E-20,5.013840571,-14.28673368,1.59E-22,40.87838082
228069_at,3.821644256,2.00E-20,5.732865429,14.27951335,1.64E-22,40.85185669
204767_s_at,2.357748326,2.08E-20,8.721173429,14.26866949,1.70E-22,40.81200869
225516_at,-5.717006577,2.26E-20,7.268631714,-14.24432438,1.86E-22,40.72249169
220173_at,-3.943633802,2.28E-20,5.358787,-14.24107125,1.89E-22,40.71052409
218447_at,1.913877325,2.29E-20,8.692859429,14.23936203,1.90E-22,40.70423565
227550_at,-5.550960084,2.33E-20,5.394092,-14.23308543,1.94E-22,40.68114004
226344_at,-3.41119291,2.33E-20,5.845463857,-14.2318406,1.95E-22,40.67655888
228969_at,-4.599400521,2.50E-20,5.403118857,-14.21217478,2.10E-22,40.60415931
212744_at,-2.086797174,2.63E-20,6.784183429,-14.19732565,2.22E-22,40.54945902
219588_s_at,2.070618907,2.64E-20,7.463083143,14.19483771,2.24E-22,40.54029131
209623_at,-3.092414323,2.75E-20,8.825581857,-14.1828733,2.34E-22,40.49619277
214804_at,2.355041472,2.86E-20,4.457335571,14.17101481,2.45E-22,40.45246626
226939_at,-2.602757511,2.89E-20,9.147752571,-14.16801307,2.47E-22,40.44139488
203214_x_at,4.014885299,3.11E-20,7.285092571,14.14640178,2.68E-22,40.36165081
227811_at,-2.655620311,3.13E-20,8.173182143,-14.14366618,2.71E-22,40.35155229
205059_s_at,-2.881367847,3.15E-20,4.551401,-14.14135234,2.73E-22,40.34300998
222962_s_at,2.678873616,3.20E-20,6.814493857,14.13630462,2.78E-22,40.32437218
240723_at,-3.675810547,3.41E-20,4.037816286,-14.11777816,2.98E-22,40.25593816
210559_s_at,3.753486409,4.49E-20,7.940753714,14.04258136,3.94E-22,39.97771399
229580_at,-6.041754895,4.75E-20,5.510029571,-14.02678091,4.18E-22,39.91915971
201774_s_at,3.003306947,6.18E-20,7.686397714,13.95490839,5.46E-22,39.65240068
219990_at,3.380139268,7.67E-20,6.662155857,13.89596969,6.81E-22,39.43314573
1554696_s_at,3.860589218,7.93E-20,7.356467429,13.8863849,7.06E-22,39.39744722
228468_at,2.382164937,8.15E-20,7.904227,13.87802421,7.28E-22,39.36629814
203213_at,2.975719251,8.80E-20,9.337003,13.85648478,7.89E-22,39.28600779
213523_at,3.821921362,9.18E-20,6.543044286,13.84410402,8.27E-22,39.23983005
209891_at,2.877657191,9.37E-20,4.731742857,13.83780492,8.47E-22,39.21632806
228346_at,-2.355906367,9.53E-20,5.205779571,-13.8321708,8.65E-22,39.19530277
209773_s_at,4.607031312,9.97E-20,7.818779571,13.81909332,9.08E-22,39.14648464
229490_s_at,3.248485349,1.04E-19,9.118446,13.80747873,9.48E-22,39.10310884
221677_s_at,2.237997452,1.17E-19,8.038003286,13.77571789,1.07E-21,38.98440583
225064_at,-2.314043246,1.19E-19,8.572884571,-13.76971186,1.09E-21,38.96194419
201930_at,2.046462742,1.25E-19,9.830471429,13.75479529,1.16E-21,38.90613833
235956_at,-2.850334659,1.32E-19,3.794605857,-13.73999421,1.22E-21,38.85073606
229425_at,-2.311938789,1.36E-19,5.617750286,-13.73010697,1.27E-21,38.81371111
235609_at,3.616796922,1.39E-19,5.541845143,13.72419421,1.30E-21,38.79156341
202613_at,2.922498932,1.51E-19,6.914373857,13.70124353,1.41E-21,38.70555327
219105_x_at,2.040419748,1.51E-19,8.492648857,13.70032767,1.42E-21,38.70211956
201124_at,-3.708700681,1.52E-19,5.429925857,-13.69713398,1.44E-21,38.6901451
209341_s_at,-1.980958167,1.53E-19,9.487456571,-13.6953673,1.45E-21,38.68352051
214153_at,-2.137752624,1.72E-19,7.357126714,-13.66273396,1.63E-21,38.56108152
201770_at,1.126223692,1.72E-19,8.860391857,13.66140018,1.64E-21,38.55607431
202233_s_at,1.301359966,1.80E-19,12.24332857,13.64841894,1.73E-21,38.50732876
200795_at,-2.691398579,1.81E-19,11.35428871,-13.64634251,1.74E-21,38.49952958
220239_at,3.133533516,1.84E-19,6.496675,13.6404032,1.78E-21,38.47721815
203685_at,-4.224303936,1.85E-19,8.361648286,-13.63809045,1.79E-21,38.46852892
219497_s_at,4.939637712,2.05E-19,6.578240857,13.61033493,1.99E-21,38.36419481
202808_at,-1.74570836,2.05E-19,9.138560571,-13.60965229,2.00E-21,38.3616275
224925_at,-2.908289916,2.06E-19,7.067814429,-13.60745676,2.01E-21,38.35336996
205907_s_at,-3.933151489,2.12E-19,5.723454571,-13.59914913,2.08E-21,38.32211885
219734_at,-4.367660749,2.20E-19,5.243300429,-13.58778927,2.17E-21,38.2793716
201381_x_at,1.528657696,2.32E-19,10.60048286,13.57380531,2.29E-21,38.22672705
205381_at,-5.54426947,2.46E-19,6.071922857,-13.55750772,2.43E-21,38.1653407
238992_at,-2.602437275,2.50E-19,5.895816,-13.55219901,2.48E-21,38.14533756
242560_at,2.484697225,2.51E-19,7.449397143,13.54938151,2.51E-21,38.1347198
244310_at,-2.795981926,2.56E-19,5.819275857,-13.54386133,2.56E-21,38.113914
212141_at,2.428306299,2.59E-19,8.304503,13.54029502,2.60E-21,38.10047034
202815_s_at,-1.686414542,2.69E-19,7.074068429,-13.52896395,2.71E-21,38.05774557
1553622_a_at,-4.822012666,2.74E-19,4.898756571,-13.52275676,2.77E-21,38.03433382
205339_at,2.482663675,2.92E-19,8.112939857,13.50517877,2.97E-21,37.96800772
223204_at,-3.033013288,3.03E-19,10.96218286,-13.49530041,3.08E-21,37.93071679
210691_s_at,1.625163339,3.14E-19,9.992804143,13.48484557,3.20E-21,37.89123595
209825_s_at,2.140035467,3.52E-19,8.072029,13.45357486,3.61E-21,37.77306388
208682_s_at,-2.577077031,3.55E-19,9.542889857,-13.45071338,3.65E-21,37.76224408
227787_s_at,2.187549748,3.62E-19,8.044175,13.4447055,3.73E-21,37.7395237
212830_at,-2.216713978,3.62E-19,8.189621714,-13.44347305,3.75E-21,37.73486228
204444_at,3.3712909,3.65E-19,6.959426,13.44042075,3.79E-21,37.72331694
233498_at,-4.281803053,3.72E-19,3.942124714,-13.43508512,3.87E-21,37.70313203
224839_s_at,3.13243857,3.87E-19,6.088680571,13.42376789,4.04E-21,37.66030634
225071_at,1.441450084,3.95E-19,8.984079286,13.41739619,4.14E-21,37.63618788
